Generation,TotalFitness,BestFitness,,,Generation,TotalFitness,,,,,,,,,BestFitness
237,7453,728,,,237,7453,,,,,,,,,728
238,15150,1274,,,238,15150,,,,,,,,,1274
239,16041,1705,,,239,16041,,,,,,,,,1705
240,15572,2072,,,240,15572,,,,,,,,,2072
241,13426,1565,,,241,13426,,,,,,,,,1565
242,12619,2283,,,242,12619,,,,,,,,,2283
243,8453,356,,,243,8453,,,,,,,,,356
244,7488,1065,,,244,7488,,,,,,,,,1065
245,5931,769,,,245,5931,,,,,,,,,769
246,7880,1504,,,246,7880,,,,,,,,,1504
247,4532,354,,,247,4532,,,,,,,,,354
248,10908,1835,,,248,10908,,,,,,,,,1835
249,14497,1520,,,249,14497,,,,,,,,,1520
250,31140,4735,,,250,31140,,,,,,,,,4735
251,12903,2075,,,251,12903,,,,,,,,,2075
252,26522,3224,,,252,26522,,,,,,,,,3224
253,5957,467,,,253,5957,,,,,,,,,467
254,9626,1171,,,254,9626,,,,,,,,,1171
255,8004,683,,,255,8004,,,,,,,,,683
256,13661,1620,,,256,13661,,,,,,,,,1620
257,9675,1214,,,257,9675,,,,,,,,,1214
258,4198,230,,,258,4198,,,,,,,,,230
259,12645,2271,,,259,12645,,,,,,,,,2271
260,15780,2724,,,260,15780,,,,,,,,,2724
261,8991,544,,,261,8991,,,,,,,,,544
262,15086,1405,,,262,15086,,,,,,,,,1405
263,14638,1356,,,263,14638,,,,,,,,,1356
264,15651,1524,,,264,15651,,,,,,,,,1524
265,3041,175,,,265,3041,,,,,,,,,175
266,6643,664,,,266,6643,,,,,,,,,664
267,8454,553,,,267,8454,,,,,,,,,553
268,18349,2679,,,268,18349,,,,,,,,,2679
269,6937,400,,,269,6937,,,,,,,,,400
270,9919,1527,,,270,9919,,,,,,,,,1527
271,12312,1374,,,271,12312,,,,,,,,,1374
272,5018,412,,,272,5018,,,,,,,,,412
273,5378,410,,,273,5378,,,,,,,,,410
274,10783,1280,,,274,10783,,,,,,,,,1280
275,8305,830,,,275,8305,,,,,,,,,830
276,11432,2715,,,276,11432,,,,,,,,,2715
