Generation,TotalFitness,BestFitness
474,20121,11795
475,10857,12062
476,13815,11481
477,9772,12168
478,11450,11202
479,10507,11422
480,8753,10962
481,42873,14028
482,20955,13316
483,8536,3794
484,17116,11687
485,6532,2007
486,17319,11530
